5142,967,1,ancient wyrm lair,point,red
5364,1363,1,Armoury,point,red
6085,178,1,balron room,point,red
5356,1331,1,Bed Chambers,point,red
5291,1339,1,Blood Well,point,red
5151,742,1,catacomb,point,red
5538,1881,1,chapel,point,red
5332,1323,1,Cider Store,point,red
5289,1315,1,Corpser Pen,point,red
5410,1999,1,corpser room,point,red
5410,1933,1,corpser room,point,red
5313,746,1,crypt,point,red
6044,226,1,the death trap,exit,red
5491,20,1,down,stairs,red
5787,1337,1,down,stairs,red
5503,570,1,down,stairs,red
5905,97,1,down,stairs,red
5920,169,1,down,stairs,red
6039,193,1,down,stairs,red
5604,102,1,down,stairs,red
5538,170,1,down,stairs,red
5507,162,1,down,stairs,red
5216,586,1,down,stairs,red
5346,578,1,down,stairs,red
5219,761,1,down,stairs,red
5386,756,1,down,stairs,red
5850,237,1,down,stairs,red
5130,908,1,down,stairs,red
5151,809,1,down,stairs,red
5829,593,1,down,stairs,red
5133,1946,1,down,stairs,red
5364,1289,1,down,stairs,red
5596,1841,1,down to dragon's lair,stairs,red
5707,146,1,down to ice demon lair,stairs,red
5557,1827,1,down to undead prison,stairs,red
5453,1802,1,dragon's lair,point,red
5348,2008,1,Earth Elemental Chamber,point,red
5148,1969,1,Fortress Gate,point,red
6054,47,1,gargoyle cage,point,red
5457,1973,1,gazer room,point,red
5828,1474,1,graveyard,graveyard,red
5505,1998,1,harpy room,point,red
5471,1878,1,harpy room,point,red
5247,939,1,here be dragons,point,red
5673,323,1,ice demon lair,point,red
2385,837,1,in,exit,red
2545,853,1,in,exit,red
5389,2025,1,in,exit,red
5394,1958,1,in,exit,red
5306,1371,1,Jail Cell,point,red
5340,1306,1,Lava Forges,point,red
5275,676,1,lava room,point,red
5251,1602,1,lever,point,red
5143,1703,1,lever,point,red
5579,1854,1,lich room,point,red
5647,1411,1,mage tower,point,red
5580,195,1,mage tower,point,red
5344,1550,1,nest,point,red
5690,533,1,ogre lord,point,red
5342,1743,1,Ophidian territory,point,red
5324,1308,1,"Orc ""Shrine""",point,red
5137,2020,1,Orc Cave (B),exit,red
5313,1291,1,Orc Forge,point,red
5830,357,1,orc fort,point,red
5319,1977,1,Orc Workshop,point,red
2456,859,1,out,exit,red
2421,884,1,out,exit,red
5615,1997,1,out,exit,red
5579,1927,1,out,exit,red
5331,1349,1,Pen,point,red
5308,676,1,pit,point,red
5424,570,1,shrine,point,red
5507,626,1,shrine,point,red
5472,754,1,shrine,point,red
5385,851,1,shrine,point,red
5474,867,1,shrine,point,red
5450,1004,1,shrine,point,red
5205,776,1,shrine,point,red
5294,624,1,skeletal magi,point,red
5146,616,1,skeleton prison,point,red
5309,2008,1,Smithing Platform,point,red
5452,843,1,statue,point,red
5170,1586,1,Terathan Temple,point,red
5826,531,1,torture chamber,point,red
5267,691,1,treasure chamber,point,red
5616,1839,1,treasure room,point,red
5505,1808,1,undead prison,point,red
5219,731,1,unholy temple,point,red
5515,11,1,up,stairs,red
5524,673,1,up,stairs,red
5701,1318,1,up,stairs,red
5701,305,1,up,stairs,red
5469,1806,1,up,stairs,red
5552,1805,1,up,stairs,red
5973,169,1,up,stairs,red
6081,145,1,up,stairs,red
6057,89,1,up,stairs,red
5514,147,1,up,stairs,red
5513,175,1,up,stairs,red
5875,19,1,up,stairs,red
5305,530,1,up,stairs,red
5137,649,1,up,stairs,red
5305,651,1,up,stairs,red
5410,859,1,up,stairs,red
5832,325,1,up,stairs,red
5143,799,1,up,stairs,red
5135,985,1,up,stairs,red
5690,569,1,up,stairs,red
5331,1379,1,up,stairs,red
5273,2042,1,up,stairs,red
5386,681,1,vault,point,red
5443,2029,1,water elemental room,point,red
5296,2002,1,Water Vat,point,red
5395,1419,1,altar,point,red
1012,1330,1,altar,point,red
5564,1354,1,altar,point,red
5388,1325,1,big teleporter,teleporter,red
5452,1374,1,bottom of pit,point,red
5460,1409,1,brazier,point,red
5483,1440,1,bridge,bridge,red
5552,1332,1,council chamber,point,red
5443,1323,1,crypt,point,red
5387,1341,1,forge,point,red
5605,1343,1,The Harrower's pool,point,red
5402,1360,1,hidden switch,point,red
5402,1289,1,Khaldun (back door),exit,red
5573,1300,1,Khaldun (main),exit,red
5436,1341,1,laboratory,point,red
5524,1367,1,moving wall,point,red
5523,1394,1,pile of skulls,point,red
5479,1348,1,pit,point,red
5422,1490,1,pool of blood,point,red
5452,1443,1,sarcophagi,point,red
5396,1467,1,sarcophagi,point,red
5491,1395,1,sarcophagi,point,red
5460,1418,1,secret passage,point,red
5453,1361,1,statue,point,red
5459,1426,1,switch,point,red
5565,1338,1,teleporter 1a,teleporter,red
5620,1341,1,teleporter 1b,teleporter,red
5542,1356,1,teleporter 2a,teleporter,red
5572,1307,1,teleporter 2b,teleporter,red
5527,1342,1,teleporter 3a,teleporter,red
5412,1396,1,teleporter 3b,teleporter,red
5555,1317,1,teleporter 4a,teleporter,red
5395,1297,1,teleporter 4b,teleporter,red
5453,1484,1,Temple of the Zealots,point,red
5444,1395,1,traps,point,red
5513,1339,1,wall,point,red
5555,1313,1,wall,point,red
5473,1348,1,wall,point,red
5457,1364,1,wall,point,red
6303,1340,1,Ocllo,exit,red
6378,1331,1,Ocllo,exit,red
6305,1382,1,Ocllo Dungeon,down,red
6270,1453,1,Ocllo Pirate Fort,up,red
6293,1463,1,Ocllo Mage Tower Basement,up,red
6388,1477,1,Ocllo,exit,red
6222,1394,1,Ocllo,exit,red
